Parameter,Function,Test Case,cyclomatic_complexity
(int seconds),"public class FormatTime {
public static String formatTime(int seconds) {
        if (seconds < 0) {
            return ""not set"";
        }
        int hours = seconds / 3600;
        int remainder = seconds % 3600;
        int minutes = remainder / 60;
        seconds = remainder % 60;
        return String.format(""%02d:%02d:%02d"", hours, minutes, seconds);
    }
}","@Test
    public void testFormatTimeHour() throws Exception {
        assertThat(formatTime(3600), is(""01:00:00""));
    }",2
(int seconds),"public class FormatTime {
public static String formatTime(int seconds) {
        if (seconds < 0) {
            return ""not set"";
        }
        int hours = seconds / 3600;
        int remainder = seconds % 3600;
        int minutes = remainder / 60;
        seconds = remainder % 60;
        return String.format(""%02d:%02d:%02d"", hours, minutes, seconds);
    }
}","@Test
    public void testFormatTime0() throws Exception {
        assertThat(formatTime(0), is(""00:00:00""));
    }",2
(int seconds),"public class FormatTime {
public static String formatTime(int seconds) {
        if (seconds < 0) {
            return ""not set"";
        }
        int hours = seconds / 3600;
        int remainder = seconds % 3600;
        int minutes = remainder / 60;
        seconds = remainder % 60;
        return String.format(""%02d:%02d:%02d"", hours, minutes, seconds);
    }
}","@Test
    public void testFormatTimeMinute() throws Exception {
        assertThat(formatTime(60), is(""00:01:00""));
    }",2
(int seconds),"public class FormatTime {
public static String formatTime(int seconds) {
        if (seconds < 0) {
            return ""not set"";
        }
        int hours = seconds / 3600;
        int remainder = seconds % 3600;
        int minutes = remainder / 60;
        seconds = remainder % 60;
        return String.format(""%02d:%02d:%02d"", hours, minutes, seconds);
    }
}","@Test
    public void testFormatTimeSecond() throws Exception {
        assertThat(formatTime(1), is(""00:00:01""));
    }",2
(int seconds),"public class FormatTime {
public static String formatTime(int seconds) {
        if (seconds < 0) {
            return ""not set"";
        }
        int hours = seconds / 3600;
        int remainder = seconds % 3600;
        int minutes = remainder / 60;
        seconds = remainder % 60;
        return String.format(""%02d:%02d:%02d"", hours, minutes, seconds);
    }
}","@Test
    public void testFormatTime24Hours() throws Exception {
        assertThat(formatTime(86400), is(""24:00:00""));
    }",2
(long size),"public class GetPrintSize {
public static String getPrintSize(long size) {
        float printSize = (float)size / 1024/ 1024;
        return String.format(""%.1fMB"", printSize);
    }
}","@Test
    public void getPrintSize() throws Exception {
        int[] size = new int[] {10100000};
        for(int i=0;i<size.length;i++) {
            System.out.println(NumberUtil.getPrintSize(size[i]));
        }
    }",1
(int value),"public class Pluralize {
public static String pluralize(int value)
  {
    if (value != 1)
    {
      return ""s"";
    }
    else
    {
      return """";
    }
  }
}","@Test
  public void pluralize() {
    assertEquals(""s"", StringHelper.pluralize(2));
    assertEquals(""s"", StringHelper.pluralize(0));
    assertEquals("""", StringHelper.pluralize(1));
    
    assertEquals(""a"", StringHelper.pluralize(2, ""um"", ""a""));
    assertEquals(""a"", StringHelper.pluralize(0, ""um"", ""a""));
    assertEquals(""um"", StringHelper.pluralize(1, ""um"", ""a""));
  }",2
"(double value, int decimalPlaces)","public class Round {
public static double round(double value, int decimalPlaces)
  {
    if (decimalPlaces < 0)
    {
      throw new IllegalArgumentException(
          ""decimalPlaces can not be less than 0: "" + decimalPlaces);
    }

    return java.math.BigDecimal.valueOf(value).setScale(decimalPlaces, 
        java.math.RoundingMode.HALF_UP).doubleValue();
  }
}","@Test
  public void round() {
    assertEquals(1.0d, NumberHelper.round(1.01d, 1), 0.0d);
    assertEquals(1.0d, NumberHelper.round(0.99d, 1), 0.0d);
    assertNotEquals(1.0d, NumberHelper.round(1.51d, 1), 0.0d);
    assertNotEquals(1.0d, NumberHelper.round(0.49d, 1), 0.0d);
    assertEquals(1.0f, NumberHelper.round(1.2f, 0), 0.01f);
    assertEquals(1.2f, NumberHelper.round(1.22f, 1), 0.001f);
    assertEquals(-1.0f, NumberHelper.round(-1.2f, 0), 0.01f);
    assertEquals(-1.2f, NumberHelper.round(-1.22f, 1), 0.001f);
  }",2
"(int cpuLoad, int limit, int maxRequests)","public class CalculateRequests {
static int calculateRequests(int cpuLoad, int limit, int maxRequests) {

        // Validations
        if (cpuLoad < limit) {
            return maxRequests;
        }
        if (limit == 100) {
            // do not throttle in this case
            return maxRequests;
        }

        double fillLevel = (100.0 - cpuLoad) / (100.0 - limit);
        return (int) Math.round(fillLevel * maxRequests);

    }
}","@Test
    public void testCalculations() {
        assertEquals(5, CpuLoadEstimator.calculateRequests(5, 50, 5));
        assertEquals(5, CpuLoadEstimator.calculateRequests(100, 100, 5));

        assertEquals(5, CpuLoadEstimator.calculateRequests(85, 70, 10)); // (100-85) / (100-70) * 10
    }",3
(int x),"public class ILog {
public static int iLog(int x) {
    int val = 0;
    while (x > 0) {
      val++;
      x >>>= 1;
    }
    return val;
  }
}","@Test
  public void testILog() throws Exception {
    assertThat(iLog(0)).isEqualTo(0);
    assertThat(iLog(1)).isEqualTo(1);
    assertThat(iLog(2)).isEqualTo(2);
    assertThat(iLog(3)).isEqualTo(2);
    assertThat(iLog(4)).isEqualTo(3);
    assertThat(iLog(5)).isEqualTo(3);
    assertThat(iLog(8)).isEqualTo(4);
    assertThat(iLog(-1)).isEqualTo(0);
    assertThat(iLog(-122)).isEqualTo(0);
  }",2
"(long x, long y, long overflowResult)","public class SubtractWithOverflowDefault {
public static long subtractWithOverflowDefault(long x, long y, long overflowResult) {
    long result = x - y;
    // See Hacker's Delight 2-13 (H. Warren Jr).
    if (((x ^ y) & (x ^ result)) < 0) {
      return overflowResult;
    }
    return result;
  }
}","@Test
  public void testSubtrackWithOverflowDefault() {
    long res = Util.subtractWithOverflowDefault(5, 10, /* overflowResult= */ 0);
    assertThat(res).isEqualTo(-5);

    res = Util.subtractWithOverflowDefault(Long.MIN_VALUE + 1, 1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(Long.MIN_VALUE);

    res = Util.subtractWithOverflowDefault(Long.MAX_VALUE - 1, -1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(Long.MAX_VALUE);

    res = Util.subtractWithOverflowDefault(Long.MIN_VALUE, 1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(12345);

    res = Util.subtractWithOverflowDefault(Long.MAX_VALUE, -1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(12345);
  }",2
"(long x, long y, long overflowResult)","public class AddWithOverflowDefault {
public static long addWithOverflowDefault(long x, long y, long overflowResult) {
    long result = x + y;
    // See Hacker's Delight 2-13 (H. Warren Jr).
    if (((x ^ result) & (y ^ result)) < 0) {
      return overflowResult;
    }
    return result;
  }
}","@Test
  public void testAddWithOverflowDefault() {
    long res = Util.addWithOverflowDefault(5, 10, /* overflowResult= */ 0);
    assertThat(res).isEqualTo(15);

    res = Util.addWithOverflowDefault(Long.MAX_VALUE - 1, 1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(Long.MAX_VALUE);

    res = Util.addWithOverflowDefault(Long.MIN_VALUE + 1, -1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(Long.MIN_VALUE);

    res = Util.addWithOverflowDefault(Long.MAX_VALUE, 1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(12345);

    res = Util.addWithOverflowDefault(Long.MIN_VALUE, -1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(12345);
  }",2
(int quantity),"public class QuantityToRSStackSize {
public static String quantityToRSStackSize(int quantity)
	{
		if (quantity == Integer.MIN_VALUE)
		{
			// Integer.MIN_VALUE = Integer.MIN_VALUE * -1 so we need to correct for it.
			return ""-"" + quantityToRSStackSize(Integer.MAX_VALUE);
		}
		else if (quantity < 0)
		{
			return ""-"" + quantityToRSStackSize(-quantity);
		}
		else if (quantity < 100_000)
		{
			return Integer.toString(quantity);
		}
		else if (quantity < 10_000_000)
		{
			return quantity / 1_000 + ""K"";
		}
		else
		{
			return quantity / 1_000_000 + ""M"";
		}
	}
}","@Test
	public void quantityToRSStackSize()
	{
		assertEquals(""0"", StackFormatter.quantityToRSStackSize(0));
		assertEquals(""99999"", StackFormatter.quantityToRSStackSize(99_999));
		assertEquals(""100K"", StackFormatter.quantityToRSStackSize(100_000));
		assertEquals(""10M"", StackFormatter.quantityToRSStackSize(10_000_000));
		assertEquals(""2147M"", StackFormatter.quantityToRSStackSize(Integer.MAX_VALUE));

		assertEquals(""0"", StackFormatter.quantityToRSStackSize(-0));
		assertEquals(""-400"", StackFormatter.quantityToRSStackSize(-400));
		assertEquals(""-400K"", StackFormatter.quantityToRSStackSize(-400_000));
		assertEquals(""-40M"", StackFormatter.quantityToRSStackSize(-40_000_000));
		assertEquals(""-2147M"", StackFormatter.quantityToRSStackSize(Integer.MIN_VALUE));
	}",5
(int value),"public class GetOrdinalFor {
public static String getOrdinalFor(int value) {

    String ordinal = String.valueOf(value);
    if (ordinal.endsWith(""11"") || ordinal.endsWith(""12"") || ordinal.endsWith(""13"")) {
      ordinal = ordinal + ""th"";
    } else if (ordinal.endsWith(""1"")) {
      ordinal = ordinal + ""st"";
    } else if (ordinal.endsWith(""2"")) {
      ordinal = ordinal + ""nd"";
    } else if (ordinal.endsWith(""3"")) {
      ordinal = ordinal + ""rd"";
    } else {
      ordinal = ordinal + ""th"";
    }
    return ordinal;
  }
}","@Test
  public void testGetOrdinalFor() throws Exception {

    // Test against all possible Trezor values just to be sure

    assertThat(Languages.getOrdinalFor(1)).isEqualTo(""1st"");
    assertThat(Languages.getOrdinalFor(2)).isEqualTo(""2nd"");
    assertThat(Languages.getOrdinalFor(3)).isEqualTo(""3rd"");
    assertThat(Languages.getOrdinalFor(4)).isEqualTo(""4th"");
    assertThat(Languages.getOrdinalFor(5)).isEqualTo(""5th"");
    assertThat(Languages.getOrdinalFor(6)).isEqualTo(""6th"");
    assertThat(Languages.getOrdinalFor(7)).isEqualTo(""7th"");
    assertThat(Languages.getOrdinalFor(8)).isEqualTo(""8th"");
    assertThat(Languages.getOrdinalFor(9)).isEqualTo(""9th"");
    assertThat(Languages.getOrdinalFor(10)).isEqualTo(""10th"");
    assertThat(Languages.getOrdinalFor(11)).isEqualTo(""11th"");
    assertThat(Languages.getOrdinalFor(12)).isEqualTo(""12th"");
    assertThat(Languages.getOrdinalFor(13)).isEqualTo(""13th"");
    assertThat(Languages.getOrdinalFor(14)).isEqualTo(""14th"");
    assertThat(Languages.getOrdinalFor(15)).isEqualTo(""15th"");
    assertThat(Languages.getOrdinalFor(16)).isEqualTo(""16th"");
    assertThat(Languages.getOrdinalFor(17)).isEqualTo(""17th"");
    assertThat(Languages.getOrdinalFor(18)).isEqualTo(""18th"");
    assertThat(Languages.getOrdinalFor(19)).isEqualTo(""19th"");
    assertThat(Languages.getOrdinalFor(20)).isEqualTo(""20th"");
    assertThat(Languages.getOrdinalFor(21)).isEqualTo(""21st"");
    assertThat(Languages.getOrdinalFor(22)).isEqualTo(""22nd"");
    assertThat(Languages.getOrdinalFor(23)).isEqualTo(""23rd"");
    assertThat(Languages.getOrdinalFor(24)).isEqualTo(""24th"");

  }",7
(byte type),"public class ByteToUnsignedInt {
public static int byteToUnsignedInt (byte type) {
        return type & 0xFF;
    }
}","@Test
    public void testByteToUnsignedInt () {
        assertEquals(0, ByteUtils.byteToUnsignedInt((byte) 0x00));
        assertEquals(1, ByteUtils.byteToUnsignedInt((byte) 0x01));
        assertEquals(2, ByteUtils.byteToUnsignedInt((byte) 0x02));
        assertEquals(3, ByteUtils.byteToUnsignedInt((byte) 0x03));
        assertEquals(4, ByteUtils.byteToUnsignedInt((byte) 0x04));
        assertEquals(5, ByteUtils.byteToUnsignedInt((byte) 0x05));
        assertEquals(6, ByteUtils.byteToUnsignedInt((byte) 0x06));
        assertEquals(7, ByteUtils.byteToUnsignedInt((byte) 0x07));
        assertEquals(8, ByteUtils.byteToUnsignedInt((byte) 0x08));
        assertEquals(9, ByteUtils.byteToUnsignedInt((byte) 0x09));
        assertEquals(10, ByteUtils.byteToUnsignedInt((byte) 0x0A));
        assertEquals(11, ByteUtils.byteToUnsignedInt((byte) 0x0B));
        assertEquals(12, ByteUtils.byteToUnsignedInt((byte) 0x0C));
        assertEquals(13, ByteUtils.byteToUnsignedInt((byte) 0x0D));
        assertEquals(14, ByteUtils.byteToUnsignedInt((byte) 0x0E));
        assertEquals(15, ByteUtils.byteToUnsignedInt((byte) 0x0F));

        assertEquals(16, ByteUtils.byteToUnsignedInt((byte) 0x10));

        assertEquals(239, ByteUtils.byteToUnsignedInt((byte) 0xEF));
        assertEquals(255, ByteUtils.byteToUnsignedInt((byte) 0xFF));
    }",1
"(int value, int exponent)","public class Pow {
static int pow(int value, int exponent) {
		if(exponent == 0) {
			return 1;
		}

		if(exponent == 1) {
			return value;
		}

		if (exponent % 2 == 0) {
			return pow(value * value, exponent / 2);
		} else {
			return value * pow(value * value, (exponent - 1) / 2);
		}
	}
}","@Test
	public void testShouldPow() throws Exception {
		for (int i = 0; i < 10; i++) {
			for (int j = 0; j < 10; j++) {
				assertEquals((int) Math.pow(i, j), Maths.pow(i, j));
			}
		}

	}",4
"(int hour, int minute)","public class TimeValid {
public static boolean timeValid(int hour, int minute) {
		return hour <= 23 && hour >= 0 && minute <= 59 && minute >= 0;
	}
}","@Test
	public void timeValidTest() {
		assertFalse(Alarm.timeValid(-1, 0));
		assertFalse(Alarm.timeValid(0, -1));
		assertFalse(Alarm.timeValid(-1, -1));

	}",4
(char c),"public class IsBasicLatin {
public static boolean isBasicLatin(char c) {
        return Character.UnicodeBlock.of(c) == Character.UnicodeBlock.BASIC_LATIN;
    }
}","@Test
    void tesIsBasicLatinWithHiraganaA() {
        assertFalse(StringUtils.isBasicLatin('あ'));
    }",1
(char c),"public class IsBasicLatin {
public static boolean isBasicLatin(char c) {
        return Character.UnicodeBlock.of(c) == Character.UnicodeBlock.BASIC_LATIN;
    }
}","@Test
    void tesIsBasicLatinWithHyphen() {
        assertTrue(StringUtils.isBasicLatin('-'));
    }",1
(char c),"public class IsBasicLatin {
public static boolean isBasicLatin(char c) {
        return Character.UnicodeBlock.of(c) == Character.UnicodeBlock.BASIC_LATIN;
    }
}","@Test
    void tesIsBasicLatinWithKatakanaA() {
        assertFalse(StringUtils.isBasicLatin('ア'));
    }",1
(char c),"public class IsBasicLatin {
public static boolean isBasicLatin(char c) {
        return Character.UnicodeBlock.of(c) == Character.UnicodeBlock.BASIC_LATIN;
    }
}","@Test
    void tesIsBasicLatinWithPeriod() {
        assertTrue(StringUtils.isBasicLatin('.'));
    }",1
(char c),"public class IsBasicLatin {
public static boolean isBasicLatin(char c) {
        return Character.UnicodeBlock.of(c) == Character.UnicodeBlock.BASIC_LATIN;
    }
}","@Test
    void tesIsBasicLatinWithKatakanaMiddleDot() {
        assertFalse(StringUtils.isBasicLatin('・'));
    }",1
"(long deltaCpuTime, long deltaUptime)","public class CalcLoad {
public static double calcLoad(long deltaCpuTime, long deltaUptime) {
		if (deltaCpuTime <= 0 || deltaUptime == 0) {
			return 0.0;
		}
		return deltaCpuTime * 100d / deltaUptime;
	}
}","@Test
    public void calcLoadInputPositivePositiveOutputPositive() {

        // Arrange
        final long deltaCpuTime = 558_348_370L;
        final long deltaUptime = 1L;

        // Act
        final double retval = Utils.calcLoad(deltaCpuTime, deltaUptime);

        // Assert result
        Assert.assertEquals(0x1.a0008001p+35 /* 5.58348e+10 */, retval, 0.0);
    }",3
"(long deltaCpuTime, long deltaUptime)","public class CalcLoad {
public static double calcLoad(long deltaCpuTime, long deltaUptime) {
		if (deltaCpuTime <= 0 || deltaUptime == 0) {
			return 0.0;
		}
		return deltaCpuTime * 100d / deltaUptime;
	}
}","@Test
    public void calcLoadInputNegativeZeroZeroOutputZero() {

        // Arrange
        final Long deltaCpuTime = -4_194_304L;
        final long deltaUptime = 0L;
        final long factor = 0L;

        // Act
        final double retval = Utils.calcLoad(deltaCpuTime, deltaUptime, factor);

        // Assert result
        Assert.assertEquals(0.0, retval, 0.0);
    }",3
"(long deltaCpuTime, long deltaUptime)","public class CalcLoad {
public static double calcLoad(long deltaCpuTime, long deltaUptime) {
		if (deltaCpuTime <= 0 || deltaUptime == 0) {
			return 0.0;
		}
		return deltaCpuTime * 100d / deltaUptime;
	}
}","@Test
    public void calcLoadInputPositiveZeroZeroOutputZero() {

        // Arrange
        final Long deltaCpuTime = 4_194_304L;
        final long deltaUptime = 0L;
        final long factor = 0L;

        // Act
        final double retval = Utils.calcLoad(deltaCpuTime, deltaUptime, factor);

        // Assert result
        Assert.assertEquals(0.0, retval, 0.0);
    }",3
"(long deltaCpuTime, long deltaUptime)","public class CalcLoad {
public static double calcLoad(long deltaCpuTime, long deltaUptime) {
		if (deltaCpuTime <= 0 || deltaUptime == 0) {
			return 0.0;
		}
		return deltaCpuTime * 100d / deltaUptime;
	}
}","@Test
    public void calcLoadInputZeroZeroOutputZero() {

        // Arrange
        final long deltaCpuTime = 0L;
        final long deltaUptime = 0L;

        // Act
        final double retval = Utils.calcLoad(deltaCpuTime, deltaUptime);

        // Assert result
        Assert.assertEquals(0.0, retval, 0.0);
    }",3
"(long deltaCpuTime, long deltaUptime)","public class CalcLoad {
public static double calcLoad(long deltaCpuTime, long deltaUptime) {
		if (deltaCpuTime <= 0 || deltaUptime == 0) {
			return 0.0;
		}
		return deltaCpuTime * 100d / deltaUptime;
	}
}","@Test
    public void calcLoadInputPositivePositiveZeroOutputPositiveInfinity() {

        // Arrange
        final Long deltaCpuTime = 4_194_304L;
        final long deltaUptime = 4_611_686_018_427_387_904L;
        final long factor = 0L;

        // Act
        final double retval = Utils.calcLoad(deltaCpuTime, deltaUptime, factor);

        // Assert result
        Assert.assertEquals(Double.POSITIVE_INFINITY, retval, 0.0);
    }",3
"(long deltaCpuTime, long deltaUptime)","public class CalcLoad {
public static double calcLoad(long deltaCpuTime, long deltaUptime) {
		if (deltaCpuTime <= 0 || deltaUptime == 0) {
			return 0.0;
		}
		return deltaCpuTime * 100d / deltaUptime;
	}
}","@Test
    public void calcLoadInputPositiveZeroOutputZero() {

        // Arrange
        final long deltaCpuTime = 558_348_370L;
        final long deltaUptime = 0L;

        // Act
        final double retval = Utils.calcLoad(deltaCpuTime, deltaUptime);

        // Assert result
        Assert.assertEquals(0.0, retval, 0.0);
    }",3
(int i),"public class ToString {
public static String toString(int i) {
		return Integer.toString(i);
	}
}","@Test
	public void toStringTest() {
		assertThat(NumberUtil.toString(23)).isEqualTo(""23"");
		assertThat(NumberUtil.toString(new Integer(23))).isEqualTo(""23"");
		assertThat(NumberUtil.toString(23l)).isEqualTo(""23"");
		assertThat(NumberUtil.toString(new Long(23))).isEqualTo(""23"");
		assertThat(NumberUtil.toString(23l)).isEqualTo(""23"");

		assertThat(NumberUtil.toString(new Double(23.112d))).isEqualTo(""23.112"");
		assertThat(NumberUtil.toString(23.112d)).isEqualTo(""23.112"");
		assertThat(NumberUtil.to2DigitString(23.112d)).isEqualTo(""23.11"");
		assertThat(NumberUtil.to2DigitString(23.116d)).isEqualTo(""23.12"");

	}",1
(char ch),"public class IsAscii {
public static boolean isAscii(char ch) {
        return ((ch & 0xFFFFFF80) == 0);
    }
}","@Test
    public void test() throws Exception {
        assertTrue(CharUtil.isAscii('a'));
        assertFalse(CharUtil.isAscii('あ'));
    }",1
"(int barCount, int currentBar, int index)","public class GetCurrentBarIndex {
public int getCurrentBarIndex(int barCount, int currentBar, int index){
        switch (barCount){
            case 1:
                return 0;
            case 2:
                if(index < 4){
                    return 0;
                }else if(index >=4 && index <8){
                    return 1;
                }else if(index >=8 && index <12){
                    return 0;
                }else if(index >= 12 && index <16){
                    return 1;
                }else{
                    throw new RuntimeException(""ERROR getCurrentBarIndex out of bound index : "" + index);
                }
            case 4:
                if(index < 4){
                    return 0;
                }else if(index >=4 && index <8){
                    return 1;
                }else if(index >=8 && index <12){
                    return 2;
                }else if(index >= 12 && index <16){
                    return 3;
                }else{
                    throw new RuntimeException(""ERROR getCurrentBarIndex out of bound index : "" + index);
                }
            default:
                throw new RuntimeException(""ERROR getCurrentBarIndex bar count - "" + barCount);
        }
    }
}","@Test
    public void shouldGetCurrentBarFor1BarLoops(){
        int resultOne = melodicExtractor.getCurrentBarIndex(1, 1, 1);
        assertThat(resultOne).isEqualTo(0);
    }",16
"(int barCount, int currentBar, int index)","public class GetCurrentBarIndex {
public int getCurrentBarIndex(int barCount, int currentBar, int index){
        switch (barCount){
            case 1:
                return 0;
            case 2:
                if(index < 4){
                    return 0;
                }else if(index >=4 && index <8){
                    return 1;
                }else if(index >=8 && index <12){
                    return 0;
                }else if(index >= 12 && index <16){
                    return 1;
                }else{
                    throw new RuntimeException(""ERROR getCurrentBarIndex out of bound index : "" + index);
                }
            case 4:
                if(index < 4){
                    return 0;
                }else if(index >=4 && index <8){
                    return 1;
                }else if(index >=8 && index <12){
                    return 2;
                }else if(index >= 12 && index <16){
                    return 3;
                }else{
                    throw new RuntimeException(""ERROR getCurrentBarIndex out of bound index : "" + index);
                }
            default:
                throw new RuntimeException(""ERROR getCurrentBarIndex bar count - "" + barCount);
        }
    }
}","@Test
    public void shouldGetCurrentBarFor4BarLoops() {
        int resultOne = melodicExtractor.getCurrentBarIndex(4, 4, 13);
        assertThat(resultOne).isEqualTo(3);
    }",16
"(int barCount, int currentBar, int index)","public class GetCurrentBarIndex {
public int getCurrentBarIndex(int barCount, int currentBar, int index){
        switch (barCount){
            case 1:
                return 0;
            case 2:
                if(index < 4){
                    return 0;
                }else if(index >=4 && index <8){
                    return 1;
                }else if(index >=8 && index <12){
                    return 0;
                }else if(index >= 12 && index <16){
                    return 1;
                }else{
                    throw new RuntimeException(""ERROR getCurrentBarIndex out of bound index : "" + index);
                }
            case 4:
                if(index < 4){
                    return 0;
                }else if(index >=4 && index <8){
                    return 1;
                }else if(index >=8 && index <12){
                    return 2;
                }else if(index >= 12 && index <16){
                    return 3;
                }else{
                    throw new RuntimeException(""ERROR getCurrentBarIndex out of bound index : "" + index);
                }
            default:
                throw new RuntimeException(""ERROR getCurrentBarIndex bar count - "" + barCount);
        }
    }
}","@Test
    public void shouldGetCurrentBarFor2BarLoops(){
        int resultOne = melodicExtractor.getCurrentBarIndex(2, 1, 3);
        int resultTwo = melodicExtractor.getCurrentBarIndex(2, 2, 7);
        int resultThree = melodicExtractor.getCurrentBarIndex(2, 3, 11);
        int resultFour = melodicExtractor.getCurrentBarIndex(2, 4, 15);

        assertThat(resultOne).isEqualTo(0);
        assertThat(resultTwo).isEqualTo(1);
        assertThat(resultThree).isEqualTo(0);
        assertThat(resultFour).isEqualTo(1);
    }",16
(int factor),"public class DecreaseFactor {
static int decreaseFactor(int factor) {
        if (factor == 1) {
            return 1;
        }

        int order = 1;
        while (factor >= 10) {
            factor /= 10;
            order *= 10;
        }

        if (factor == 1) {
            return order / 2;
        }

        if (factor == 5) {
            return order * 2;
        }

        if (factor == 2) {
            return order;
        }

        throw new IllegalStateException(""Logic error: this should be unreachable"");
    }
}","@Test
    public void decreaseFactor1() {
        assertThat(LogValueScale.decreaseFactor(200), equalTo(100));
    }",6
(int factor),"public class DecreaseFactor {
static int decreaseFactor(int factor) {
        if (factor == 1) {
            return 1;
        }

        int order = 1;
        while (factor >= 10) {
            factor /= 10;
            order *= 10;
        }

        if (factor == 1) {
            return order / 2;
        }

        if (factor == 5) {
            return order * 2;
        }

        if (factor == 2) {
            return order;
        }

        throw new IllegalStateException(""Logic error: this should be unreachable"");
    }
}","@Test
    public void decreaseFactor3() {
        assertThat(LogValueScale.decreaseFactor(1), equalTo(1));
    }",6
(int factor),"public class DecreaseFactor {
static int decreaseFactor(int factor) {
        if (factor == 1) {
            return 1;
        }

        int order = 1;
        while (factor >= 10) {
            factor /= 10;
            order *= 10;
        }

        if (factor == 1) {
            return order / 2;
        }

        if (factor == 5) {
            return order * 2;
        }

        if (factor == 2) {
            return order;
        }

        throw new IllegalStateException(""Logic error: this should be unreachable"");
    }
}","@Test
    public void decreaseFactor2() {
        assertThat(LogValueScale.decreaseFactor(100), equalTo(50));
    }",6
(int factor),"public class DecreaseFactor {
static int decreaseFactor(int factor) {
        if (factor == 1) {
            return 1;
        }

        int order = 1;
        while (factor >= 10) {
            factor /= 10;
            order *= 10;
        }

        if (factor == 1) {
            return order / 2;
        }

        if (factor == 5) {
            return order * 2;
        }

        if (factor == 2) {
            return order;
        }

        throw new IllegalStateException(""Logic error: this should be unreachable"");
    }
}","@Test
    public void decreaseFactor4() {
        assertThat(LogValueScale.decreaseFactor(5), equalTo(2));
    }",6
"(double a, double b)","public class Min {
public static double min(double a, double b) {
        if (Double.isNaN(a)) {
            return b;
        }

        if (Double.isNaN(b)) {
            return a;
        }

        return Math.min(a, b);
    }
}","@Test
    public void testMin3() {
        double result = MathIgnoreNaN.min(Double.NaN, 2);
        assertThat(result, equalTo(2.0));
    }",3
"(double a, double b)","public class Min {
public static double min(double a, double b) {
        if (Double.isNaN(a)) {
            return b;
        }

        if (Double.isNaN(b)) {
            return a;
        }

        return Math.min(a, b);
    }
}","@Test
    public void testMin2() {
        double result = MathIgnoreNaN.min(1, Double.NaN);
        assertThat(result, equalTo(1.0));
    }",3
"(double a, double b)","public class Max {
public static double max(double a, double b) {
        if (Double.isNaN(a)) {
            return b;
        }

        if (Double.isNaN(b)) {
            return a;
        }

        return Math.max(a, b);
    }
}","@Test
    public void testMax2() {
        double result = MathIgnoreNaN.max(1, Double.NaN);
        assertThat(result, equalTo(1.0));
    }",3
"(double a, double b)","public class Max {
public static double max(double a, double b) {
        if (Double.isNaN(a)) {
            return b;
        }

        if (Double.isNaN(b)) {
            return a;
        }

        return Math.max(a, b);
    }
}","@Test
    public void testMax1() {
        double result = MathIgnoreNaN.max(1, 2);
        assertThat(result, equalTo(2.0));
    }",3
"(double a, double b)","public class Min {
public static double min(double a, double b) {
        if (Double.isNaN(a)) {
            return b;
        }

        if (Double.isNaN(b)) {
            return a;
        }

        return Math.min(a, b);
    }
}","@Test
    public void testMin1() {
        double result = MathIgnoreNaN.min(1, 2);
        assertThat(result, equalTo(1.0));
    }",3
"(double a, double b)","public class Max {
public static double max(double a, double b) {
        if (Double.isNaN(a)) {
            return b;
        }

        if (Double.isNaN(b)) {
            return a;
        }

        return Math.max(a, b);
    }
}","@Test
    public void testMax3() {
        double result = MathIgnoreNaN.max(Double.NaN, 2);
        assertThat(result, equalTo(2.0));
    }",3
(int priority),"public class IsHighLevel {
public static boolean isHighLevel(int priority) {
        return priority == 0 || priority == 1 || priority == 2;
    }
}","@Test
    public void isHighLevel() {
        Stream.of(0, 1, 2).forEach(level -> assertTrue(PriorityHelper.isHighLevel(level)));
    }",3
(int priority),"public class IsLowLevel {
public static boolean isLowLevel(int priority) {
        return priority == 7 || priority == 8 || priority == 9 || priority == 10;
    }
}","@Test
    public void isLowLevel() {
        Stream.of(7, 8, 9, 10).forEach(level -> assertTrue(PriorityHelper.isLowLevel(level)));
    }",4
(int priority),"public class IsMediumLevel {
public static boolean isMediumLevel(int priority) {
        return priority == 3 || priority == 4 || priority == 5 || priority == 6;
    }
}","@Test
    public void isMediumLevel() {
        Stream.of(3, 4, 5, 6).forEach(level -> assertTrue(PriorityHelper.isMediumLevel(level)));
    }",4
(long ms),"public class ToSecondsPrecisionInMs {
public static long toSecondsPrecisionInMs(long ms) {
    return ms - (ms % 1000);
  }
}","@Test
  public void toSecondsPrecisionInMsTest() {
    assertEquals(0, RestUtils.toSecondsPrecisionInMs(999));
    assertEquals(1000, RestUtils.toSecondsPrecisionInMs(1000));
    assertEquals(1000, RestUtils.toSecondsPrecisionInMs(1001));
  }",1
