Parameter,Function,Test Case,cyclomatic_complexity,SPF_Results
(long now),"public class GetEncodedRunId {
public static long getEncodedRunId(long now) {
    // get top of the hour
    long lastHour = now - (now % 3600);
    // return inverted timestamp
    return (Long.MAX_VALUE - lastHour);
  }
}","@Test
  public void TestGetLastHourInvertedTimestamp() throws IOException {
    long ts = 1391896800L;
    long expectedTop = Long.MAX_VALUE - ts;
    long actualTop = HdfsStatsService.getEncodedRunId(ts);
    assertEquals(actualTop, expectedTop);
  }",1,"Inputs: now_1_SYMINT
No path conditions for demo.GetEncodedRunId.getEncodedRunId(0)
"
(double in),"public class NormalizeLongitude {
public static double normalizeLongitude(double in)
    {
        double out = in;
        if (out > 180.)
        {
            out -= (int)((out + 180.) / 360.) * 360.;
        }
        else if (out < -180.)
        {
            out -= (int)((out - 180.) / 360.) * 360.;
        }
        // Allow both 180 and -180.

        return out;
    }
}","@Test
    public void testNormalizeLongitude()
    {
        Assert.assertEquals(-1., LatLonAlt.normalizeLongitude(-361.), 0.);
        Assert.assertEquals(0., LatLonAlt.normalizeLongitude(-360.), 0.);
        Assert.assertEquals(1., LatLonAlt.normalizeLongitude(-359.), 0.);
        Assert.assertEquals(45., LatLonAlt.normalizeLongitude(-315.), 0.);
        Assert.assertEquals(90., LatLonAlt.normalizeLongitude(-270.), 0.);
        Assert.assertEquals(135., LatLonAlt.normalizeLongitude(-225.), 0.);
        Assert.assertEquals(-180., LatLonAlt.normalizeLongitude(-180.), 0.);
        Assert.assertEquals(-135., LatLonAlt.normalizeLongitude(-135.), 0.);
        Assert.assertEquals(-90., LatLonAlt.normalizeLongitude(-90.), 0.);
        Assert.assertEquals(-45., LatLonAlt.normalizeLongitude(-45.), 0.);
        Assert.assertEquals(0., LatLonAlt.normalizeLongitude(0.), 0.);
        Assert.assertEquals(45., LatLonAlt.normalizeLongitude(45.), 0.);
        Assert.assertEquals(90., LatLonAlt.normalizeLongitude(90.), 0.);
        Assert.assertEquals(135., LatLonAlt.normalizeLongitude(135.), 0.);
        Assert.assertEquals(180., LatLonAlt.normalizeLongitude(180.), 0.);
        Assert.assertEquals(-135., LatLonAlt.normalizeLongitude(225.), 0.);
        Assert.assertEquals(-90., LatLonAlt.normalizeLongitude(270.), 0.);
        Assert.assertEquals(-45., LatLonAlt.normalizeLongitude(315.), 0.);
        Assert.assertEquals(-1., LatLonAlt.normalizeLongitude(359.), 0.);
        Assert.assertEquals(0., LatLonAlt.normalizeLongitude(360.), 0.);
        Assert.assertEquals(1., LatLonAlt.normalizeLongitude(361.), 0.);
    }",3,
"(long value, long min, long max)","public class GetModulatedFloat {
public static float getModulatedFloat(long value, long min, long max)
    {
        // Don't use max floats because when the active span is big compared to
        // the loop span the shader calculations would max out on the float
        // type. This caused incorrect alpha calculations and all features would
        // disappear.
        float modulatedValue = Float.MAX_VALUE / 2;
        if (value > min && value < max)
        {
            double range = max - min;
            double floatRange = modulatedValue - 0;

            double floatPerUnit = floatRange / range;
            long deltaFromMin = value - min;
            float floats = (float)(deltaFromMin * floatPerUnit);
            modulatedValue = floats;
        }
        else if (value <= min)
        {
            modulatedValue = 0;
        }

        return modulatedValue;
    }
}","@Test
    public void testGetModulatedFloat()
    {
//        Assert.assertEquals(-Float.MAX_VALUE, MathUtil.getModulatedFloat(Long.MIN_VALUE, Long.MIN_VALUE, Long.MAX_VALUE), 0f);
//        Assert.assertEquals(0f, MathUtil.getModulatedFloat(0L, Long.MIN_VALUE, Long.MAX_VALUE), 0f);
//        Assert.assertEquals(Float.MAX_VALUE, MathUtil.getModulatedFloat(Long.MAX_VALUE, Long.MIN_VALUE, Long.MAX_VALUE), 0f);

        Assert.assertEquals(0, MathUtil.getModulatedFloat(0, 0, 1000), 0f);
        Assert.assertEquals(Float.MAX_VALUE / 4, MathUtil.getModulatedFloat(500, 0, 1000), 0f);
        Assert.assertEquals(Float.MAX_VALUE / 2, MathUtil.getModulatedFloat(1000, 0, 1000), 0f);

        long min = 1370476800000L;
        long max = min + Constants.MILLIS_PER_DAY;
        long step = 1000L;
        for (long test = min; test < max; test += step)
        {
            Assert.assertTrue(MathUtil.getModulatedFloat(test + step, min, max) != MathUtil.getModulatedFloat(test, min, max));
        }
    }",4,"Inputs: value_1_SYMINT,min_2_SYMINT,max_3_SYMINT

demo.GetModulatedFloat.getModulatedFloat(0l,1l,-9223372036854775808(don't care))  --> Return Value: 0.0
demo.GetModulatedFloat.getModulatedFloat(0l,0l,-9223372036854775808(don't care))  --> Return Value: 0.0
demo.GetModulatedFloat.getModulatedFloat(1l,0l,-9223372036854775808(don't care))  --> Return Value: 0.0
"
(long timestamp),"public class ToMillis {
static long toMillis(long timestamp) {
    if (timestamp < 10000000000L) {
      // in seconds
      return timestamp * 1000;
    } else if (timestamp < 10000000000000L) {
      // in millis
      return timestamp;
    }
    // in micros
    return timestamp / 1000;
  }
}","@Test
  public void testToMillis() {
    long millis = 1542750947417L;
    Assert.assertEquals(1542750947000L, toMillis(millis / 1000));
    Assert.assertEquals(1542750947417L, toMillis(millis));
    Assert.assertEquals(1542750947417L, toMillis(millis * 1000 + 918));
  }",3,"Inputs: timestamp_1_SYMINT

demo.ToMillis.toMillis(0l)  --> Return Value: 0
demo.ToMillis.toMillis(10000000000l)  --> Return Value: 10000000000000
demo.ToMillis.toMillis(1410065409l)  --> Return Value: 1410065409000
"
"(int rgb1, double a1, int rgb2, double a2, int rgb3, double a3, int rgb4, double a4)","public class PixelBlend {
protected static int pixelBlend(int rgb1, double a1, int rgb2, double a2, int rgb3, double a3, int rgb4, double a4) {
        return  0xFF000000                                                                                                                                   // alpha
              | (int) (((rgb1 >>> 16) & 0xFF) * a1 + ((rgb2 >>> 16) & 0xFF) * a2 + ((rgb3 >>> 16) & 0xFF) * a3 + ((rgb4 >>> 16) & 0xFF) * a4 + 0.5) << 16    // red
              | (int) (((rgb1 >>>  8) & 0xFF) * a1 + ((rgb2 >>>  8) & 0xFF) * a2 + ((rgb3 >>>  8) & 0xFF) * a3 + ((rgb4 >>>  8) & 0xFF) * a4 + 0.5) <<  8    // green
              | (int) (( rgb1         & 0xFF) * a1 + ( rgb2         & 0xFF) * a2 + ( rgb3         & 0xFF) * a3 + ( rgb4         & 0xFF) * a4 + 0.5);         // blue
    }
}","@Test
    public void testPixelBlend() throws Exception {
        int red = 0xffff0000;
        int green = 0xff00ff00;
        int expected = 0xff808000;

        int actual = TextureChooser.pixelBlend(red, 0.5, green, 0.5, 0, 0, 0, 0);
        assertEquals(expected, actual);
    }",1,
(int argb),"public class Brightness {
public static float brightness (int argb) {
        // TODO: we're ignoring alpha here...
        int red = (argb >> 16) & 0xFF;
        int green = (argb >> 8) & 0xFF;
        int blue = (argb >> 0) & 0xFF;
        int max = Math.max(Math.max(red, green), blue);
        return ((float) max) / 255.0f;
    }
}","@Test
    public void testBrightness() {
        assertEquals(0, Color.brightness(0xFF000000), 0.0000001);
        assertEquals(1, Color.brightness(0xFFFFFFFF), 0.0000001);
        assertEquals(0.0117647, Color.brightness(0xFF010203), 0.0000001);
        assertEquals(1, Color.brightness(0xFF00FFC8), 0.0000001);
    }",1,
(int n),"public class Close_to_zero {
public int close_to_zero(int n) {
    if (n == 0) {
      n++; // bug here
    } else if (n > 0) {
      n--;
    } else {
      n++;
    }
    return n;
  }
}","@Test
  public void test02() {
    assertEquals(99, new CloseToZero().close_to_zero(100));
  }",3,"Inputs: n_1_SYMINT

demo.Close_to_zero.close_to_zero(0)  --> Return Value: 1
demo.Close_to_zero.close_to_zero(1)  --> Return Value: 0
demo.Close_to_zero.close_to_zero(-1)  --> Return Value: 0
"
(int n),"public class Close_to_zero {
public int close_to_zero(int n) {
    if (n == 0) {
      return 0;
    } else if (n > 0) {
      n--;
    } else {
      n++;
    }
    n++; // bug here
    return n;
  }
}","@Test
  public void test01() {
    assertEquals(9, new CloseToZero().close_to_zero(10));
  }",3,"Inputs: n_1_SYMINT

demo.Close_to_zero.close_to_zero(0)  --> Return Value: 0
demo.Close_to_zero.close_to_zero(1)  --> Return Value: 1
demo.Close_to_zero.close_to_zero(-1)  --> Return Value: 1
"
(int n),"public class CountDown {
public int countDown(int n) {
    if (0 <= n) { // bug here
      n--;
    }
    return n;
  }
}","@Test
  public void test03() {
    assertEquals(0, new CountDown().countDown(0));
  }",2,"Inputs: n_1_SYMINT

demo.CountDown.countDown(0)  --> Return Value: -1
demo.CountDown.countDown(-1)  --> Return Value: -1
"
(int n),"public class Close_to_zero {
public int close_to_zero(int n) {
    if (n == 0) {
      // do nothing
    } else if (n < 0) { // bug here
      n--;
    } else {
      n++;
    }
    return n;
  }
}","@Test
  public void test01() {
    assertEquals(9, new CloseToZero().close_to_zero(10));
  }",3,"Inputs: n_1_SYMINT

demo.Close_to_zero.close_to_zero(0)  --> Return Value: 0
demo.Close_to_zero.close_to_zero(-1)  --> Return Value: -2
demo.Close_to_zero.close_to_zero(1)  --> Return Value: 2
"
(double x),"public class Digamma {
public static double digamma(double x) {
        if (x > 0 && x <= 1.0e-5) { // small value shortcut
            return -0.5772156649 - 1.0 / x;
        }

        double result = 0;
        double y = x;
        while (y < 8.5) { // iterate for medium or very negative values
            result -= 1.0 / y;
            y += 1.0;
        }

        // and compute the final approximation for large values
        double r = 1.0 / y;
        // REVIEW What if y is zero?
        result += Math.log(y) - 0.5 * r;
        r = r * r;
        result -= r * (8.3333333333e-2 - r * (8.3333333333e-3 - r * 3.968253968e-3));

        return result;
    }
}","@Test
    public void testDigammaShouldMatchCommonsMath() {
        for (double d: toIterable(doubles(), 10000)) {
            assertThat(""digamma of "" + d,
                       Scalars.digamma(d),
                       closeTo(Gamma.digamma(d), 1.0e-8));
        }

        for (double d: someDoubles(0, 2.0e-5)) {
            assertThat(""digamma of "" + d,
                       Scalars.digamma(d),
                       closeTo(Gamma.digamma(d), 1.0e-8));
        }

        for (double d: someDoubles(-10, 0)) {
            assertThat(""digamma of "" + d,
                       Scalars.digamma(d),
                       closeTo(Gamma.digamma(d), 1.0e-8));
        }

        for (double d: someDoubles(0, 10)) {
            assertThat(""digamma of "" + d,
                       Scalars.digamma(d),
                       closeTo(Gamma.digamma(d), 1.0e-8));
        }
    }",4,
"(int cpuLoad, int limit, int maxRequests)","public class CalculateRequests {
static int calculateRequests(int cpuLoad, int limit, int maxRequests) {

        // Validations
        if (cpuLoad < limit) {
            return maxRequests;
        }
        if (limit == 100) {
            // do not throttle in this case
            return maxRequests;
        }

        double fillLevel = (100.0 - cpuLoad) / (100.0 - limit);
        return (int) Math.round(fillLevel * maxRequests);

    }
}","@Test
    public void testCalculations() {
        assertEquals(5, CpuLoadEstimator.calculateRequests(5, 50, 5));
        assertEquals(5, CpuLoadEstimator.calculateRequests(100, 100, 5));

        assertEquals(5, CpuLoadEstimator.calculateRequests(85, 70, 10)); // (100-85) / (100-70) * 10
    }",3,
"(long x, long y, long overflowResult)","public class SubtractWithOverflowDefault {
public static long subtractWithOverflowDefault(long x, long y, long overflowResult) {
    long result = x - y;
    // See Hacker's Delight 2-13 (H. Warren Jr).
    if (((x ^ y) & (x ^ result)) < 0) {
      return overflowResult;
    }
    return result;
  }
}","@Test
  public void testSubtrackWithOverflowDefault() {
    long res = Util.subtractWithOverflowDefault(5, 10, /* overflowResult= */ 0);
    assertThat(res).isEqualTo(-5);

    res = Util.subtractWithOverflowDefault(Long.MIN_VALUE + 1, 1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(Long.MIN_VALUE);

    res = Util.subtractWithOverflowDefault(Long.MAX_VALUE - 1, -1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(Long.MAX_VALUE);

    res = Util.subtractWithOverflowDefault(Long.MIN_VALUE, 1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(12345);

    res = Util.subtractWithOverflowDefault(Long.MAX_VALUE, -1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(12345);
  }",2,
